comment_id,comment,theme,sentiment,urgency,department,needs_human_review,review_reason,manager_summary,suggested_action
1,"The café line took 25 minutes and the food was cold.",Food,Negative,Medium,Food Service,No,,"Guests reported long wait times and cold food at the café.","Review lunch staffing and food holding process."
2,"Front desk staff were very friendly and helped us upgrade our membership.",Staff,Positive,Low,Membership,No,,"Staff support contributed to a positive membership upgrade experience.","Share feedback with membership team."
3,"The restrooms near the north entrance were dirty by noon.",Cleanliness,Negative,Medium,Operations,No,,"Cleanliness issue reported at north entrance restrooms.","Adjust midday cleaning checks."
4,"An employee made an inappropriate comment to my family.",Staff,Negative,High,Operations,Yes,conduct concern,"Potential conduct issue requires direct human review.","Escalate to manager and HR review."
5,"I am confused about which discounts are included with membership renewal.",Membership,Neutral,Low,Membership,No,,"Guests are unclear on renewal discount benefits.","Clarify benefits language in renewal communications."
6,"My child slipped near the wet floor and there was no sign posted.",Cleanliness,Negative,High,Operations,Yes,safety concern,"Safety hazard reported near a wet floor with no visible signage.","Escalate to operations and facilities immediately."
7,"The gift shop had a great selection and the staff were helpful.",Staff,Positive,Low,Operations,No,,"Positive feedback about gift shop selection and staff helpfulness.","Share with retail team as positive recognition."
8,"Parking was confusing and there weren't enough signs.",Operations,Negative,Medium,Operations,No,,"Guests found parking navigation confusing due to limited signage.","Add directional signage in parking areas."
9,"I think a staff member was overheard making a discriminatory remark to a coworker.",Staff,Negative,High,Operations,Yes,discrimination concern,"Potential discrimination concern requires HR review.","Escalate to HR for investigation."
10,"The food quality has really improved since last year.",Food,Positive,Low,Food Service,No,,"Guests noted improved food quality compared to last year.","Share positive trend with food service leadership."
11,"Membership renewal process online kept timing out.",Membership,Negative,Medium,Membership,No,,"Guests experienced technical issues during online membership renewal.","Investigate renewal portal reliability."
12,"Not sure if this is the right place, but I have a billing question that never got resolved.",Membership,Neutral,Medium,Membership,Yes,unclear/ambiguous,"Billing concern unresolved; classification unclear.","Escalate to membership billing support."
13,"Loved the new exhibit, my kids didn't want to leave!",Operations,Positive,Low,Operations,No,,"Highly positive guest reaction to new exhibit.","Share success with programming team."
14,"Long wait times at check-in on weekends.",Operations,Negative,Medium,Operations,No,,"Guests report long check-in wait times on weekends.","Evaluate weekend staffing levels at check-in."
15,"Someone followed me to my car after closing and it felt unsafe.",Operations,Negative,High,Operations,Yes,safety concern,"Potential safety incident reported in parking area after closing.","Escalate immediately to security and management."
